,Frame,Area,Center_x,Center_y,Distance,LocX,LocY,LocZ
0,1,6878.431,186.7100982666016,582.2347717285156,57.41806003483627,-28.85,49.64,0.0
1,2,7147.427,187.2496490478516,583.0934753417969,57.022337167422,-28.68,49.29,0.0
2,3,7245.64,186.66883850097656,583.8308715820312,56.62662973648087,-28.5,48.93,0.0
3,4,7322.2715,187.2153778076172,584.3505249023438,56.23094078149391,-28.33,48.57,0.0
4,5,7368.9434,186.39840698242188,584.6636047363281,55.83526468305279,-28.16,48.22,0.0
5,6,7310.1226,185.458251953125,584.5751953125,55.4396028173622,-27.98,47.86,0.0
6,7,7214.075,184.7470550537109,584.4754943847656,55.04396158998307,-27.81,47.5,0.0
7,8,7292.544,184.81773376464844,584.7199096679688,54.64833642324462,-27.64,47.14,0.0
8,9,7391.6836,184.38067626953125,585.0024719238281,54.25272879351756,-27.46,46.79,0.0
9,10,7454.7856,184.62461853027344,585.1974487304688,53.8571385206168,-27.29,46.43,0.0
10,11,7538.825,184.8282470703125,585.5363464355469,53.46156998566383,-27.12,46.07,0.0
11,12,7701.6284,184.6038818359375,585.958251953125,53.06601332321405,-26.94,45.72,0.0
12,13,7763.8296,184.0339813232422,586.3940124511719,52.67047980946609,-26.77,45.36,0.0
13,14,7696.4526,183.4072723388672,586.3437805175781,52.27496705092965,-26.6,45.0,0.0
14,15,7693.1978,182.6824188232422,586.0936584472656,51.87947140461877,-26.42,44.65,0.0
15,16,7633.6304,182.1671600341797,585.7323608398438,51.4839974142072,-26.25,44.29,0.0
16,17,7729.5415,182.38839721679688,586.0806274414062,51.08854319321964,-26.08,43.93,0.0
17,18,7996.2837,182.40396118164065,587.2942199707031,50.69311341836162,-25.9,43.58,0.0
18,19,7988.254,182.16583251953125,587.2721252441406,50.29770199207508,-25.73,43.22,0.0
19,20,7863.4956,181.35646057128903,586.9691162109375,49.90231301980463,-25.56,42.86,0.0
20,21,7943.517,180.1945037841797,587.3388977050781,49.506950121690615,-25.38,42.5,0.0
21,22,8162.5146,179.9844512939453,588.1812133789062,49.11160833491597,-25.21,42.15,0.0
22,23,8217.599,179.9852752685547,588.5244140625,48.71629193205673,-25.04,41.79,0.0
23,24,8634.601,180.7201995849609,589.5394287109375,48.320998378317306,-24.86,41.43,0.0
24,25,8749.694,180.1966552734375,589.995849609375,48.61797464411793,-24.87,41.78,0.0
25,26,8678.295,184.6044769287109,588.9174194335938,48.91554923571083,-24.87,42.12,0.0
26,27,8753.224,192.0703125,589.9916076660156,49.2137100594184,-24.88,42.46,0.0
27,28,8535.33,196.117904663086,587.946533203125,49.512448373568766,-24.88,42.8,0.0
28,29,8176.048,203.03732299804688,587.6427307128906,49.81175133730054,-24.89,43.15,0.0
29,30,8161.026,207.5004425048828,587.0580749511719,50.11161066009771,-24.9,43.49,0.0
30,31,8076.6924,211.9258499145508,585.26708984375,50.41201944081949,-24.9,43.83,0.0
31,32,7637.537,214.8939514160156,585.1036376953125,50.71296069373409,-24.91,44.18,0.0
32,33,7718.4927,219.1504898071289,586.7060852050781,51.01442858474576,-24.91,44.52,0.0
33,34,7407.833,225.65625,585.7948303222656,51.31641323765842,-24.92,44.86,0.0
34,35,7776.5044,233.396713256836,586.41064453125,51.61890676529804,-24.92,45.2,0.0
35,36,7677.489,235.98352813720703,586.4399108886719,51.9219002736547,-24.93,45.55,0.0
36,37,7492.1333,240.37551879882807,587.0444030761719,52.225383891899256,-24.93,45.89,0.0
37,38,7406.4893,246.40028381347656,585.4522399902344,52.52934796340934,-24.94,46.23,0.0
38,39,7308.2627,251.1277847290039,584.9789733886719,52.8337876614231,-24.95,46.57,0.0
39,40,7313.952,258.4179992675781,584.469482421875,53.13869308822903,-24.95,46.92,0.0
40,41,6694.246,255.0253677368164,583.2931823730469,53.444060840847,-24.96,47.26,0.0
41,42,6826.573,260.57940673828125,584.0894165039062,53.74987111630624,-24.96,47.6,0.0
42,43,6538.9155,265.7733764648437,582.7005310058594,54.05612769525995,-24.97,47.94,0.0
43,44,6566.325,267.96944427490234,584.4701232910156,54.36281798255041,-24.97,48.29,0.0
44,45,6862.1235,276.362907409668,584.5945739746094,54.66993467905829,-24.98,48.63,0.0
45,46,6312.767,277.1026611328125,582.8255615234375,54.97747341418858,-24.99,48.97,0.0
46,47,6294.1265,281.0535583496094,582.8665466308594,55.28542438485991,-24.99,49.31,0.0
47,48,6651.8047,288.32830810546875,583.0526428222656,55.5937807405761,-25.0,49.66,0.0
48,49,6500.9575,291.276969909668,583.4240112304688,55.90253904851114,-25.0,50.0,0.0
49,50,6367.5513,295.7895736694336,582.8463745117188,55.40050103687437,-24.85,49.51,0.0
50,51,6619.1533,295.74633026123047,583.1026916503906,54.89859592886632,-24.7,49.03,0.0
51,52,6608.1904,290.56990814208984,583.865966796875,54.39682235412803,-24.55,48.54,0.0
52,53,6761.4287,290.54288482666016,583.9865112304688,53.89518681764982,-24.41,48.05,0.0
53,54,6732.4863,287.0327453613281,583.9300537109375,53.39369435316953,-24.26,47.57,0.0
54,55,6948.724,287.2426071166992,584.3629760742188,52.89234614537077,-24.11,47.08,0.0
55,56,6843.9434,282.61075592041016,585.0327758789062,52.39114517058351,-23.96,46.59,0.0
56,57,6674.117,280.99295806884766,584.3517761230469,51.89010098820782,-23.81,46.11,0.0
57,58,7218.223,283.83580780029297,585.2545471191406,51.389218184415576,-23.66,45.62,0.0
58,59,7399.149,283.75341033935547,585.7033386230469,50.88849612717925,-23.51,45.13,0.0
59,60,7601.055,282.1636962890625,586.3121643066406,50.38794384824515,-23.36,44.65,0.0
60,61,7507.2744,276.9069290161133,586.283935546875,49.88756462289882,-23.21,44.16,0.0
61,62,7459.5654,274.12479400634766,586.4615478515625,49.38736371113503,-23.06,43.67,0.0
62,63,7614.3433,272.1425476074219,586.8848266601562,48.88734596206716,-22.91,43.19,0.0
63,64,7715.285,267.99041748046875,588.0174255371094,48.38751957665582,-22.76,42.7,0.0
64,65,7892.086,266.7383499145508,588.7276611328125,47.887888953756,-22.61,42.21,0.0
65,66,8120.8394,265.0694961547852,589.842529296875,47.38845674338352,-22.47,41.73,0.0
66,67,8158.7,262.311279296875,588.4341735839844,46.889236444889626,-22.32,41.24,0.0
67,68,8491.123,261.94567108154297,589.8423767089844,46.39022996579449,-22.17,40.75,0.0
68,69,8647.42,260.4253845214844,588.9851379394531,45.89144727355336,-22.02,40.26,0.0
69,70,8855.1455,259.1781005859375,590.5249938964844,45.39289372826313,-21.87,39.78,0.0
70,71,8979.063,254.6718292236328,591.6193237304688,44.89457764370482,-21.72,39.29,0.0
71,72,8865.872,253.83881378173828,591.2578125,44.39650426626463,-21.57,38.8,0.0
72,73,9252.916,250.8461227416992,593.4315490722656,43.898686723465,-21.42,38.32,0.0
73,74,9974.428,247.4013900756836,593.6211242675781,43.40113135766163,-21.27,37.83,0.0
74,75,10383.006,244.506088256836,595.21826171875,42.90384586764193,-21.12,37.34,0.0
75,76,10657.331,242.8724365234375,596.2458190917969,42.40684262608656,-20.97,36.86,0.0
76,77,10618.226,239.9073028564453,596.1514892578125,41.91013058211769,-20.82,36.37,0.0
77,78,10848.815,237.08834838867188,596.6274108886719,41.41371800283524,-20.67,35.88,0.0
78,79,11112.911,234.6757125854492,596.7332458496094,40.91761653338862,-20.53,35.4,0.0
79,80,11250.865,229.25889587402344,596.5724487304688,40.42184366845037,-20.38,34.91,0.0
80,81,11552.327,226.11849212646484,597.7605895996094,39.92640018384609,-20.23,34.42,0.0
81,82,12004.371,224.9442901611328,598.6266784667969,39.43130971747142,-20.08,33.94,0.0
82,83,12468.505,221.94318389892572,599.384765625,38.93658103287058,-19.93,33.45,0.0
83,84,13013.291,219.7805252075196,600.58447265625,38.44222651008568,-19.78,32.96,0.0
84,85,13267.046,216.22409057617188,600.8205871582031,38.86365129956248,-19.79,33.45,0.0
85,86,12893.773,224.17513275146484,599.8795471191406,39.2865865476801,-19.79,33.94,0.0
86,87,12596.07,233.1628036499024,600.2195434570312,39.71098553078445,-19.8,34.42,0.0
87,88,12175.1455,242.10113525390625,599.55126953125,40.13680219729768,-19.8,34.91,0.0
88,89,11551.442,248.9887084960937,598.0050964355469,40.563989268090936,-19.81,35.4,0.0
89,90,11308.185,259.98974609375,597.3885803222656,40.992505760985786,-19.82,35.88,0.0
90,91,10708.493,264.82799530029297,595.336669921875,41.422312627356256,-19.82,36.37,0.0
91,92,10337.735,270.8709716796875,596.9395751953125,41.85336537382907,-19.83,36.86,0.0
92,93,10412.237,281.7846374511719,595.8963012695312,42.28563095143476,-19.84,37.34,0.0
93,94,10588.533,290.2762756347656,596.2984008789062,42.71906897112536,-19.84,37.83,0.0
94,95,9857.723,295.45367431640625,594.1631774902344,43.15364410466072,-19.85,38.32,0.0
95,96,8965.339,302.97591400146484,591.7192993164062,43.58932269185167,-19.86,38.8,0.0
96,97,9147.597,309.0328903198242,592.42041015625,44.026073706561945,-19.86,39.29,0.0
97,98,8911.21,315.3302383422852,592.3346557617188,44.46386314449546,-19.87,39.78,0.0
98,99,8598.123,322.8773498535156,591.8480834960938,44.90266199185832,-19.87,40.26,0.0
99,100,9099.841,332.07789611816406,593.3434753417969,45.34244127967937,-19.88,40.75,0.0
100,101,8437.221,336.1135330200196,591.21533203125,45.78317308780903,-19.89,41.24,0.0
101,102,8231.313,343.70176696777344,589.6012573242188,46.22482819017219,-19.89,41.73,0.0
102,103,8338.255,351.8550796508789,590.0121459960938,46.667381353809375,-19.9,42.21,0.0
103,104,7367.03,352.6115493774414,587.5519409179688,47.11080824156839,-19.91,42.7,0.0
104,105,7401.633,358.03135681152344,589.0821228027344,47.55508409149561,-19.91,43.19,0.0
105,106,7256.694,364.187255859375,587.5625305175781,48.00018374089996,-19.92,43.67,0.0
106,107,7315.0205,372.3517456054688,587.6029968261719,48.44608574360733,-19.93,44.16,0.0
107,108,6969.7324,374.7396087646485,586.7227172851562,48.89276783515156,-19.93,44.65,0.0
108,109,6840.04,381.48773193359375,585.8542175292969,49.34021130291211,-19.94,45.13,0.0
109,110,6808.703,386.8393249511719,585.1549072265625,49.78838979666767,-19.94,45.62,0.0
110,111,6733.4106,393.0286102294922,585.0683898925781,50.23728971909525,-19.95,46.11,0.0
111,112,6288.0166,394.1668548583984,585.1951904296875,50.68688949424261,-19.96,46.59,0.0
112,113,6036.4062,397.9400177001953,584.6355285644531,51.13717364661888,-19.96,47.08,0.0
113,114,6018.0835,404.9147644042969,584.5819396972656,51.5881156779274,-19.97,47.57,0.0
114,115,5912.3223,406.95057678222656,584.6809997558594,52.03970171128211,-19.98,48.05,0.0
115,116,5691.6675,412.1163940429688,584.5287780761719,52.49192675324062,-19.98,48.54,0.0
116,117,5766.1787,416.4169921875,584.1261901855469,52.94475857851748,-19.99,49.03,0.0
117,118,5756.796,421.8165740966797,584.2984924316406,53.39819003691745,-20.0,49.51,0.0
118,119,5609.863,427.1045989990234,584.0119934082031,53.85220173166234,-20.0,50.0,0.0
119,120,5536.8965,432.9449157714844,582.8866882324219,53.34136718004816,-19.9,49.49,0.0
120,121,5596.753,429.5133514404297,583.9489135742188,52.83069617652311,-19.79,48.98,0.0
121,122,5797.021,429.4316864013672,584.1824340820312,52.32018534402945,-19.69,48.48,0.0
122,123,5886.656,425.5436096191406,584.7586975097656,51.80984736923888,-19.58,47.97,0.0
123,124,5906.5747,421.881591796875,584.7887573242188,51.2996805697901,-19.48,47.46,0.0
124,125,5947.0435,420.0005340576172,584.8742065429688,50.78969370906412,-19.37,46.95,0.0
125,126,6029.9404,417.2075805664063,584.7910461425781,50.27989044153239,-19.27,46.44,0.0
126,127,6081.547,416.5558319091797,584.874755859375,49.77027456939424,-19.16,45.93,0.0
127,128,6148.4023,415.8207092285156,585.4839782714844,49.260860891497664,-19.06,45.43,0.0
128,129,6474.6084,414.14404296875,585.9203186035156,48.75164447847343,-18.95,44.92,0.0
129,130,6464.4707,411.12168884277344,586.07958984375,48.242642014559294,-18.85,44.41,0.0
130,131,6766.695,411.3504943847656,586.8829040527344,47.73385043441312,-18.74,43.9,0.0
131,132,6748.0225,407.5816040039063,587.1284790039062,47.22528140063477,-18.64,43.39,0.0
132,133,6858.3057,404.2224426269531,588.3943786621094,46.71694577410789,-18.53,42.88,0.0
133,134,7109.4453,402.8603515625,588.4802551269531,46.208842672299,-18.43,42.38,0.0
134,135,7395.633,402.44459533691406,588.8403015136719,45.70098919956065,-18.32,41.87,0.0
135,136,7648.157,400.8737487792969,589.3486633300781,45.193384992929445,-18.22,41.36,0.0
136,137,7791.587,397.1783752441406,589.7098083496094,44.68604332743859,-18.11,40.85,0.0
137,138,7811.682,393.7996520996094,590.1391906738281,44.17897601107023,-18.01,40.34,0.0
138,139,8127.3975,390.9987487792969,590.1993103027344,43.672190154274304,-17.9,39.83,0.0
139,140,8603.398,391.901741027832,590.9883728027344,43.16568966107244,-17.8,39.33,0.0
140,141,8564.377,389.1377944946289,591.9922485351562,42.65949006124143,-17.69,38.82,0.0
141,142,8870.523,385.4440536499024,593.4600830078125,42.15360545240132,-17.59,38.31,0.0
142,143,9644.987,383.23575592041016,594.6959533691406,41.64804145082279,-17.48,37.8,0.0
143,144,9960.345,381.8457794189453,595.6561279296875,41.14281098802188,-17.38,37.29,0.0
144,145,9947.102,377.6405792236328,595.7470092773438,40.63793176088978,-17.27,36.78,0.0
145,146,9689.774,372.70359802246094,596.2674255371094,40.133409421052335,-17.17,36.28,0.0
146,147,9792.161,369.7218551635742,595.9039611816406,39.62926529993826,-17.06,35.77,0.0
147,148,10070.661,365.00191497802734,597.0838928222656,39.125505048033205,-16.96,35.26,0.0
148,149,10070.661,365.00191497802734,597.0838928222656,38.62215356307322,-16.85,34.75,0.0
149,150,10811.545,359.5773162841797,597.1162719726562,38.11921743096031,-16.75,34.24,0.0
150,151,11331.879,356.8155975341797,597.9405212402344,37.616718990462495,-16.64,33.74,0.0
151,152,11688.014,354.22669219970703,600.2253723144531,37.1146764305304,-16.54,33.23,0.0
152,153,12150.549,349.66676330566406,600.8348083496094,36.61310933792192,-16.43,32.72,0.0
153,154,12661.0205,345.5606918334961,602.2245483398438,36.11202991849093,-16.33,32.21,0.0
154,155,13188.372,342.75218963623047,603.4188232421875,35.611464328240736,-16.22,31.7,0.0
155,156,13525.508,338.05179595947266,604.1654052734375,35.11143584711531,-16.12,31.19,0.0
156,157,13990.49,334.1716003417969,604.2061157226562,34.611966871768814,-16.01,30.69,0.0
157,158,14172.197,330.6526412963867,605.5133056640625,34.11308086008359,-15.91,30.18,0.0
158,159,14400.336,326.3740539550781,605.0110168457031,33.614804221744485,-15.8,29.67,0.0
159,160,14722.424,321.8045654296875,604.7851257324219,33.11716284979325,-15.7,29.16,0.0
160,161,15298.216,318.8582992553711,607.6692504882812,32.62019026223086,-15.59,28.65,0.0
161,162,15760.486,313.6440124511719,608.2454528808594,32.12391298584998,-15.49,28.14,0.0
162,163,16385.904,309.7124328613281,608.4763488769531,31.628364956928028,-15.38,27.64,0.0
163,164,17016.219,302.9441833496094,610.9576721191406,31.133581487522992,-15.28,27.13,0.0
164,165,17814.182,302.4062805175781,612.1739196777344,30.63960136014809,-15.17,26.62,0.0
165,166,18506.924,297.61358642578125,612.4850769042969,30.14645824474491,-15.07,26.11,0.0
166,167,18697.72,288.7946472167969,614.6801147460938,29.65420058859837,-14.96,25.6,0.0
167,168,19248.11,281.8109436035156,616.0565185546875,29.1628706142063,-14.86,25.09,0.0
168,169,20535.291,277.205192565918,617.2264099121094,28.672516277740005,-14.75,24.59,0.0
169,170,21593.775,274.0815734863281,619.3636779785156,29.222278206517394,-14.76,25.22,0.0
170,171,19737.984,283.46822357177734,616.4712829589844,29.77544923790968,-14.77,25.86,0.0
171,172,19178.479,300.8825378417969,614.5488586425781,30.331840841723672,-14.77,26.49,0.0
172,173,18158.693,310.0873718261719,613.0088500976562,30.89128072734417,-14.78,27.13,0.0
173,174,16980.672,321.747184753418,612.2508544921875,31.45360430273155,-14.78,27.76,0.0
174,175,16138.921,332.15533447265625,609.8660583496094,32.01866297087345,-14.79,28.4,0.0
175,176,15791.0625,344.5756530761719,608.5674743652344,32.58630976696373,-14.8,29.03,0.0
176,177,14942.783,355.4818649291992,607.6546325683594,33.156416364966105,-14.8,29.67,0.0
177,178,14355.937,365.314453125,605.2393493652344,33.72885396214359,-14.81,30.3,0.0
178,179,13908.969,374.1991500854492,605.0260925292969,34.3035085323912,-14.81,30.94,0.0
179,180,13617.526,385.0087127685547,605.5450439453125,34.880271595238725,-14.82,31.57,0.0
180,181,13018.1,393.57423400878906,603.9119873046875,35.4590374659648,-14.83,32.21,0.0
181,182,12529.502,402.77677154541016,601.6991882324219,36.03970965472767,-14.83,32.85,0.0
182,183,11896.795,410.4051055908203,600.2350158691406,36.62219769169419,-14.84,33.48,0.0
183,184,11190.532,418.5582427978516,600.8144836425781,37.20641875316068,-14.85,34.12,0.0
184,185,11274.305,428.54986572265625,600.6663208007812,37.792292871863374,-14.85,34.75,0.0
185,186,10634.804,436.5457153320313,598.8010864257812,38.37973997186037,-14.86,35.39,0.0
186,187,9576.621,442.3778076171875,596.3149108886719,38.96868969898101,-14.86,36.02,0.0
187,188,9475.688,451.2491607666016,596.8944396972656,39.55907706207173,-14.87,36.66,0.0
188,189,9117.918,456.56407165527344,595.0263061523438,40.15083826313495,-14.88,37.29,0.0
189,190,9645.293,467.8516998291016,597.5599365234375,40.74391699948518,-14.88,37.93,0.0
190,191,8895.34,472.9531707763672,594.1148681640625,41.33824844259561,-14.89,38.56,0.0
191,192,8593.774,480.5481567382813,594.3533020019531,41.93378424065956,-14.9,39.2,0.0
192,193,8708.104,486.75917053222656,594.6149291992188,42.530478106802,-14.9,39.83,0.0
193,194,7640.1133,489.4257507324219,591.0316467285156,43.128271714096336,-14.91,40.47,0.0
194,195,7409.256,496.4186248779297,591.2414855957031,43.7271255421473,-14.91,41.11,0.0
195,196,7257.7812,502.3192901611328,591.6903076171875,44.326997308972864,-14.92,41.74,0.0
